PSNR,init_snr,init_sd,iter,sum
-2.1175388686384595,-1.0,25.0,0.0,140900940.15091944
-2.121227218235932,-1.0,25.0,8.0,141027808.0
-2.11878392582311,-1.0,25.0,16.0,141058304.0
-2.11624755208287,-1.0,25.0,32.0,141080448.0
-2.1127866537140574,-1.0,25.0,64.0,141077808.0
-2.1081554664110898,-1.0,25.0,128.0,141053568.0
-2.1037022802858667,-1.0,25.0,256.0,141028832.0
-2.1003361296879377,-1.0,25.0,512.0,141014096.0
-2.0974128467248425,-1.0,25.0,1024.0,141003040.0
-2.1175244227102388,-1.0,20.0,0.0,140900590.11944523
-2.1211965731416327,-1.0,20.0,8.0,141027456.0
-2.1187585960796955,-1.0,20.0,16.0,141058048.0
-2.11622487539535,-1.0,20.0,32.0,141080192.0
-2.11277297011943,-1.0,20.0,64.0,141077568.0
-2.1081694986628,-1.0,20.0,128.0,141053568.0
-2.10376682760034,-1.0,20.0,256.0,141029312.0
-2.10046063773633,-1.0,20.0,512.0,141014864.0
-2.097614804349404,-1.0,20.0,1024.0,141003712.0
-2.1176900981552063,-1.0,15.0,0.0,140903147.02291486
-2.1213761103447317,-1.0,15.0,8.0,141030240.0
-2.118922570222306,-1.0,15.0,16.0,141060560.0
-2.116376273388944,-1.0,15.0,32.0,141082528.0
-2.112902795659324,-1.0,15.0,64.0,141079664.0
-2.1082754072906145,-1.0,15.0,128.0,141055296.0
-2.1038741813717894,-1.0,15.0,256.0,141030736.0
-2.1006119169057373,-1.0,15.0,512.0,141016000.0
-2.0978656474263415,-1.0,15.0,1024.0,141004224.0
-2.1178894524167244,-1.0,10.0,0.0,140906035.9414776
-2.1215403187646307,-1.0,10.0,8.0,141032896.0
-2.1191321948148505,-1.0,10.0,16.0,141064016.0
-2.116679053543543,-1.0,10.0,32.0,141087392.0
-2.1133529832139737,-1.0,10.0,64.0,141086480.0
-2.1089171516510365,-1.0,10.0,128.0,141064048.0
-2.1047653493243508,-1.0,10.0,256.0,141040864.0
-2.101927020383227,-1.0,10.0,512.0,141027552.0
-2.100038567769297,-1.0,10.0,1024.0,141018720.0
-2.1178092045817425,-1.0,5.0,0.0,140901038.8973494
-2.121343467768944,-1.0,5.0,8.0,141028736.0
-2.118937900821603,-1.0,5.0,16.0,141059328.0
-2.116440632611311,-1.0,5.0,32.0,141081248.0
-2.113077670200475,-1.0,5.0,64.0,141078240.0
-2.108783866377047,-1.0,5.0,128.0,141054656.0
-2.1052143751814913,-1.0,5.0,256.0,141033040.0
-2.103657130039723,-1.0,5.0,512.0,141024032.0
-2.104167802119965,-1.0,5.0,1024.0,141020080.0
-2.118705984043168,-1.0,2.0,0.0,140912392.93823397
-2.1219426531118875,-1.0,2.0,8.0,141038320.0
-2.1196697073494675,-1.0,2.0,16.0,141070384.0
