PSNR,init_snr,init_sd,iter,sum
-2.0968359083967485,-1.0,2.0,0.0,22925909.05980576
-2.0971114557895794,-1.0,2.0,8.0,23002008.0
-2.092264502037728,-1.0,2.0,16.0,23004514.0
-2.0859548511305284,-1.0,2.0,32.0,22999110.0
-2.0813116065013655,-1.0,2.0,64.0,22991508.0
-2.0800904722419715,-1.0,2.0,128.0,22984536.0
-2.0856852587207397,-1.0,2.0,256.0,22979282.0
-2.1029478007968354,-1.0,2.0,512.0,22976072.0
-2.1414562248357685,-1.0,2.0,1024.0,22972632.0
-2.0985634075249453,-1.0,0.0,0.0,22925476.153826166
-2.096610859088579,-1.0,0.0,8.0,23000470.0
-2.091689751647809,-1.0,0.0,16.0,23002544.0
-2.085362938564212,-1.0,0.0,32.0,22995972.0
-2.080798445058628,-1.0,0.0,64.0,22985862.0
-2.0803590111374692,-1.0,0.0,128.0,22974926.0
-2.089373677737692,-1.0,0.0,256.0,22965516.0
-2.116468977044032,-1.0,0.0,512.0,22960426.0
-2.178825956016958,-1.0,0.0,1024.0,22958654.0
-0.0887303575241066,0.0,25.0,0.0,18624330.322384328
-0.08093894733320614,0.0,25.0,8.0,18698230.0
-0.07216072056390964,0.0,25.0,16.0,18700808.0
-0.061427862001406944,0.0,25.0,32.0,18695536.0
-0.05174701129810915,0.0,25.0,64.0,18687658.0
-0.04304726105646583,0.0,25.0,128.0,18679546.0
-0.03642631800271094,0.0,25.0,256.0,18672440.0
-0.03283706439537384,0.0,25.0,512.0,18667410.0
-0.03258712363585195,0.0,25.0,1024.0,18662766.0
-0.08918637019461356,0.0,20.0,0.0,18625130.607785158
-0.08129379242485002,0.0,20.0,8.0,18698904.0
-0.07248773580520486,0.0,20.0,16.0,18701438.0
-0.06174007625150425,0.0,20.0,32.0,18696138.0
-0.052088604632019184,0.0,20.0,64.0,18688264.0
-0.043473518422487895,0.0,20.0,128.0,18680178.0
-0.03701881866700008,0.0,20.0,256.0,18673052.0
-0.03375064759693949,0.0,20.0,512.0,18667948.0
-0.034135177975455615,0.0,20.0,1024.0,18663226.0
-0.08852880223078735,0.0,15.0,0.0,18623738.349856388
-0.08067029662446185,0.0,15.0,8.0,18697744.0
-0.07187854816818226,0.0,15.0,16.0,18700250.0
-0.061236805545294495,0.0,15.0,32.0,18695000.0
-0.051824123591727944,0.0,15.0,64.0,18687264.0
-0.04359556514766297,0.0,15.0,128.0,18679328.0
-0.037740550958872486,0.0,15.0,256.0,18672242.0
-0.03541532898909504,0.0,15.0,512.0,18666894.0
-0.03763889525216023,0.0,15.0,1024.0,18661616.0
-0.0896947743321817,0.0,10.0,0.0,18624988.120224386
-0.08131562240662493,0.0,10.0,8.0,18698800.0
-0.0728302967925464,0.0,10.0,16.0,18701726.0
-0.06270519669992396,0.0,10.0,32.0,18697174.0
-0.05410260224233754,0.0,10.0,64.0,18690400.0
-0.047260966635330054,0.0,10.0,128.0,18683692.0
-0.04398407638017653,0.0,10.0,256.0,18678192.0
-0.04640728839550966,0.0,10.0,512.0,18674828.0
-0.0573484306503613,0.0,10.0,1024.0,18671776.0
-0.09154754451283659,0.0,5.0,0.0,18626106.823875215
-0.08199710665349759,0.0,5.0,8.0,18700080.0
-0.07338856881059388,0.0,5.0,16.0,18702464.0
-0.06325696935944435,0.0,5.0,32.0,18697006.0
-0.05504261977247851,0.0,5.0,64.0,18688890.0
-0.049789316077271495,0.0,5.0,128.0,18680562.0
-0.05096612562826898,0.0,5.0,256.0,18673566.0
-0.0633312768193054,0.0,5.0,512.0,18669272.0
-0.09545465424711452,0.0,5.0,1024.0,18666172.0
-0.09261257456984345,0.0,2.0,0.0,18622181.593742076
-0.08054558672218692,0.0,2.0,8.0,18695904.0
-0.07251517133850809,0.0,2.0,16.0,18698606.0
-0.06332124538645735,0.0,2.0,32.0,18693564.0
-0.05704483025845848,0.0,2.0,64.0,18686112.0
-0.05618897962384252,0.0,2.0,128.0,18678952.0
-0.06697041454946982,0.0,2.0,256.0,18673954.0
-0.09898775892367362,0.0,2.0,512.0,18672908.0
-0.17013583032399152,0.0,2.0,1024.0,18675128.0
-0.09755344602237252,0.0,0.0,0.0,18627190.72248932
-0.08297622932288042,0.0,0.0,8.0,18701012.0
-0.07579284080336614,0.0,0.0,16.0,18704328.0
-0.06848511114226379,0.0,0.0,32.0,18700284.0
-0.06529253406252314,0.0,0.0,64.0,18693970.0
-0.06937712824825058,0.0,0.0,128.0,18687914.0
-0.08892242125541462,0.0,0.0,256.0,18683392.0
-0.1377024623447994,0.0,0.0,512.0,18681460.0
-0.242769893468691,0.0,0.0,1024.0,18682020.0
1.8539800947165692,1.0,25.0,0.0,15281799.911047895
1.880039333147319,1.0,25.0,8.0,15353959.0
1.8941249040784252,1.0,25.0,16.0,15356930.0
1.9098123997142202,1.0,25.0,32.0,15352323.0
1.9232203807380261,1.0,25.0,64.0,15345103.0
1.9349958347683436,1.0,25.0,128.0,15337495.0
1.9436768660741293,1.0,25.0,256.0,15330781.0
1.9478534276479516,1.0,25.0,512.0,15326028.0
1.9460083532117636,1.0,25.0,1024.0,15321576.0
1.8543104985734011,1.0,20.0,0.0,15281238.314307077
1.8803738344538727,1.0,20.0,8.0,15353479.0
1.8945663345140313,1.0,20.0,16.0,15356352.0
1.9104078935420012,1.0,20.0,32.0,15351574.0
1.9239351380017093,1.0,20.0,64.0,15344200.0
1.9356883956777549,1.0,20.0,128.0,15336515.0
1.9441327998951616,1.0,20.0,256.0,15329747.0
1.9478534276479516,1.0,20.0,512.0,15324848.0
1.9452533736268154,1.0,20.0,1024.0,15320071.0
1.8539183269885258,1.0,15.0,0.0,15281406.701193884
1.880196844888361,1.0,15.0,8.0,15353866.0
1.894468656146423,1.0,15.0,16.0,15356543.0
1.9103683865086463,1.0,15.0,32.0,15351428.0
1.9239345508838146,1.0,15.0,64.0,15343551.0
1.935595380652573,1.0,15.0,128.0,15335219.0
1.9434990471639009,1.0,15.0,256.0,15327675.0
1.9457546135035775,1.0,15.0,512.0,15321863.0
1.9398731886423475,1.0,15.0,1024.0,15315929.0
1.8529731465051889,1.0,10.0,0.0,15282311.491598828
1.8796961400788748,1.0,10.0,8.0,15354436.0
1.8936199673433605,1.0,10.0,16.0,15357468.0
1.9090686592077604,1.0,10.0,32.0,15352816.0
1.922023902618801,1.0,10.0,64.0,15345332.0
1.9325655344338624,1.0,10.0,128.0,15337139.0
1.9379675918055608,1.0,10.0,256.0,15329559.0
1.935030268889522,1.0,10.0,512.0,15323685.0
1.9182221299741435,1.0,10.0,1024.0,15317733.0
1.8504380906716886,1.0,5.0,0.0,15282039.972108578
1.879777213725471,1.0,5.0,8.0,15353863.0
1.893451473806381,1.0,5.0,16.0,15356744.0
